cartodb_id,censuscode,dt_cen_cd,st_cen_cd,st_nm,district
356,471,4,24,Gujarat,Mahesana
427,484,17,24,Gujarat,Panch Mahals
445,478,11,24,Gujarat,Porbandar
555,492,25,24,Gujarat,Surat
556,475,8,24,Gujarat,Surendranagar
598,486,19,24,Gujarat,Vadodara
600,491,24,24,Gujarat,Valsad
19,482,15,24,Gujarat,Anand
637,493,26,24,Gujarat,Tapi
436,470,3,24,Gujarat,Patan
3,474,7,24,Gujarat,Ahmadabad
43,469,2,24,Gujarat,Banas Kantha
250,477,10,24,Gujarat,Jamnagar
264,479,12,24,Gujarat,Junagadh
266,468,1,24,Gujarat,Kachchh
298,483,16,24,Gujarat,Kheda
467,476,9,24,Gujarat,Rajkot
488,472,5,24,Gujarat,Sabar Kantha
17,480,13,24,Gujarat,Amreli
73,488,21,24,Gujarat,Bharuch
74,481,14,24,Gujarat,Bhavnagar
161,485,18,24,Gujarat,Dohad
190,473,6,24,Gujarat,Gandhinagar
402,487,20,24,Gujarat,Narmada
405,490,23,24,Gujarat,Navsari
564,489,22,24,Gujarat,The Dangs