ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID
02,HIMACHAL PRADESH,03,LAHUL & SPITI,21,Lahaul & Spiti (ST),2,MANDI,202
02,HIMACHAL PRADESH,01,CHAMBA,1,Churah (SC),1,KANGRA,201
02,HIMACHAL PRADESH,01,CHAMBA,4,Dalhousie,1,KANGRA,201
02,HIMACHAL PRADESH,01,CHAMBA,3,Chamba,1,KANGRA,201
02,HIMACHAL PRADESH,01,CHAMBA,2,Bharmour (ST),2,MANDI,202
02,HIMACHAL PRADESH,01,CHAMBA,5,Bhattiyat,1,KANGRA,201
02,HIMACHAL PRADESH,02,KANGRA,20,Baijnath (SC),1,KANGRA,201
02,HIMACHAL PRADESH,02,KANGRA,6,Nurpur,1,KANGRA,201
02,HIMACHAL PRADESH,02,KANGRA,17,Shahpur,1,KANGRA,201
02,HIMACHAL PRADESH,04,KULLU,22,Manali,2,MANDI,202
02,HIMACHAL PRADESH,02,KANGRA,18,Dharamshala,1,KANGRA,201
02,HIMACHAL PRADESH,02,KANGRA,7,Indora (SC),1,KANGRA,201
02,HIMACHAL PRADESH,02,KANGRA,9,Jawali,1,KANGRA,201
02,HIMACHAL PRADESH,02,KANGRA,8,Fatehpur,1,KANGRA,201
02,HIMACHAL PRADESH,02,KANGRA,19,Palampur,1,KANGRA,201
02,HIMACHAL PRADESH,04,KULLU,23,Kullu,2,MANDI,202
02,HIMACHAL PRADESH,02,KANGRA,15,Nagrota,1,KANGRA,201
02,HIMACHAL PRADESH,02,KANGRA,16,Kangra,1,KANGRA,201
02,HIMACHAL PRADESH,02,KANGRA,10,Dehra,3,HAMIRPUR,203
02,HIMACHAL PRADESH,02,KANGRA,14,Sullah,1,KANGRA,201
02,HIMACHAL PRADESH,02,KANGRA,13,Jaisinghpur (SC),1,KANGRA,201
02,HIMACHAL PRADESH,05,MANDI,30,Darang,2,MANDI,202
02,HIMACHAL PRADESH,05,MANDI,31,Jogindernagar,2,MANDI,202
02,HIMACHAL PRADESH,12,KINNAUR,68,Kinnaur (ST),2,MANDI,202
02,HIMACHAL PRADESH,02,KANGRA,11,Jaswan-Pragpur,3,HAMIRPUR,203
02,HIMACHAL PRADESH,02,KANGRA,12,Jawalamukhi,1,KANGRA,201
02,HIMACHAL PRADESH,04,KULLU,24,Banjar,2,MANDI,202
02,HIMACHAL PRADESH,06,HAMIRPUR,37,Sujanpur,3,HAMIRPUR,203
02,HIMACHAL PRADESH,07,UNA,41,Chintpurni (SC),3,HAMIRPUR,203
02,HIMACHAL PRADESH,07,UNA,42,Gagret,3,HAMIRPUR,203
02,HIMACHAL PRADESH,05,MANDI,32,Dharampur,3,HAMIRPUR,203
02,HIMACHAL PRADESH,05,MANDI,33,Mandi,2,MANDI,202
02,HIMACHAL PRADESH,06,HAMIRPUR,40,Nadaun,3,HAMIRPUR,203
02,HIMACHAL PRADESH,06,HAMIRPUR,38,Hamirpur,3,HAMIRPUR,203
02,HIMACHAL PRADESH,05,MANDI,35,Sarkaghat,2,MANDI,202
02,HIMACHAL PRADESH,06,HAMIRPUR,36,Bhoranj (SC),3,HAMIRPUR,203
02,HIMACHAL PRADESH,07,UNA,45,Kutlehar,3,HAMIRPUR,203
02,HIMACHAL PRADESH,05,MANDI,29,Seraj,2,MANDI,202
02,HIMACHAL PRADESH,05,MANDI,34,Balh (SC),2,MANDI,202
02,HIMACHAL PRADESH,11,SHIMLA,66,Rampur (SC),2,MANDI,202
02,HIMACHAL PRADESH,06,HAMIRPUR,39,Barsar,3,HAMIRPUR,203
02,HIMACHAL PRADESH,05,MANDI,28,Nachan (SC),2,MANDI,202
02,HIMACHAL PRADESH,04,KULLU,25,Anni (SC),2,MANDI,202
02,HIMACHAL PRADESH,08,BILASPUR,47,Ghumarwin,3,HAMIRPUR,203
02,HIMACHAL PRADESH,07,UNA,43,Haroli,3,HAMIRPUR,203
02,HIMACHAL PRADESH,05,MANDI,27,Sundernagar,2,MANDI,202
02,HIMACHAL PRADESH,08,BILASPUR,48,Bilaspur,3,HAMIRPUR,203
02,HIMACHAL PRADESH,07,UNA,44,Una,3,HAMIRPUR,203
02,HIMACHAL PRADESH,08,BILASPUR,46,Jhanduta (SC),3,HAMIRPUR,203
02,HIMACHAL PRADESH,08,BILASPUR,49,Sri Naina Deviji,3,HAMIRPUR,203
02,HIMACHAL PRADESH,05,MANDI,26,Karsog (SC),2,MANDI,202
02,HIMACHAL PRADESH,11,SHIMLA,67,Rohru (SC),4,SHIMLA (SC),204
02,HIMACHAL PRADESH,09,SOLAN,50,Arki,4,SHIMLA (SC),204
02,HIMACHAL PRADESH,11,SHIMLA,61,Theog,4,SHIMLA (SC),204
02,HIMACHAL PRADESH,11,SHIMLA,64,Shimla Rural,4,SHIMLA (SC),204
02,HIMACHAL PRADESH,09,SOLAN,51,Nalagarh,4,SHIMLA (SC),204
02,HIMACHAL PRADESH,11,SHIMLA,65,Jubbal-Kotkhai,4,SHIMLA (SC),204
02,HIMACHAL PRADESH,11,SHIMLA,62,Kasumpti,4,SHIMLA (SC),204
02,HIMACHAL PRADESH,11,SHIMLA,63,Shimla,4,SHIMLA (SC),204
02,HIMACHAL PRADESH,09,SOLAN,53,Solan (SC),4,SHIMLA (SC),204
02,HIMACHAL PRADESH,11,SHIMLA,60,Chopal,4,SHIMLA (SC),204
02,HIMACHAL PRADESH,09,SOLAN,52,Doon,4,SHIMLA (SC),204
02,HIMACHAL PRADESH,09,SOLAN,54,Kasauli (SC),4,SHIMLA (SC),204
02,HIMACHAL PRADESH,10,SIRMAUR,55,Pachhad (SC),4,SHIMLA (SC),204
02,HIMACHAL PRADESH,10,SIRMAUR,57,Sri Renukaji (SC,4,SHIMLA (SC),204
02,HIMACHAL PRADESH,10,SIRMAUR,59,Shillai,4,SHIMLA (SC),204
02,HIMACHAL PRADESH,10,SIRMAUR,56,Nahan,4,SHIMLA (SC),204
02,HIMACHAL PRADESH,10,SIRMAUR,58,Paonta Sahib,4,SHIMLA (SC),204