DISTRICT,ST_NM,ST_CEN_CD,DT_CEN_CD,censuscode
Agra,Uttar Pradesh,9,15,146
Aligarh,Uttar Pradesh,9,12,143
Allahabad,Uttar Pradesh,9,44,175
Ambedkar Nagar,Uttar Pradesh,9,47,178
Auraiya,Uttar Pradesh,9,31,162
Azamgarh,Uttar Pradesh,9,60,191
Baghpat,Uttar Pradesh,9,8,139
Bahraich,Uttar Pradesh,9,49,180
Ballia,Uttar Pradesh,9,62,193
Balrampur,Uttar Pradesh,9,51,182
Banda,Uttar Pradesh,9,39,170
Bara Banki,Uttar Pradesh,9,45,176
Bareilly,Uttar Pradesh,9,19,150
Basti,Uttar Pradesh,9,54,185
Bijnor,Uttar Pradesh,9,3,134
Budaun,Uttar Pradesh,9,18,149
Bulandshahr,Uttar Pradesh,9,11,142
Chandauli,Uttar Pradesh,9,65,196
Chitrakoot,Uttar Pradesh,9,40,171
Deoria,Uttar Pradesh,9,59,190
Etah,Uttar Pradesh,9,70,201
Etawah,Uttar Pradesh,9,30,161
Faizabad,Uttar Pradesh,9,46,177
Farrukhabad,Uttar Pradesh,9,28,159
Fatehpur,Uttar Pradesh,9,41,172
Firozabad,Uttar Pradesh,9,16,147
Gautam Buddha Nagar,Uttar Pradesh,9,10,141
Ghaziabad,Uttar Pradesh,9,9,140
Ghazipur,Uttar Pradesh,9,64,195
Gonda,Uttar Pradesh,9,52,183
Gorakhpur,Uttar Pradesh,9,57,188
Hamirpur,Uttar Pradesh,9,37,168
Hardoi,Uttar Pradesh,9,24,155
Mahamaya Nagar,Uttar Pradesh,9,13,144
Jalaun,Uttar Pradesh,9,34,165
Jaunpur,Uttar Pradesh,9,63,194
Jhansi,Uttar Pradesh,9,35,166
Jyotiba Phule Nagar,Uttar Pradesh,9,6,137
Kannauj,Uttar Pradesh,9,29,160
Kanpur Dehat,Uttar Pradesh,9,32,163
Kanpur Nagar,Uttar Pradesh,9,33,164
Kansiram Nagar,Uttar Pradesh,9,71,202
Kaushambi,Uttar Pradesh,9,43,174
Kheri,Uttar Pradesh,9,22,153
Kushinagar,Uttar Pradesh,9,58,189
Lalitpur,Uttar Pradesh,9,36,167
Lucknow,Uttar Pradesh,9,26,157
Maharajganj,Uttar Pradesh,9,56,187
Mahoba,Uttar Pradesh,9,38,169
Mainpuri,Uttar Pradesh,9,17,148
Mathura,Uttar Pradesh,9,14,145
Mau,Uttar Pradesh,9,61,192
Meerut,Uttar Pradesh,9,7,138
Mirzapur,Uttar Pradesh,9,68,199
Moradabad,Uttar Pradesh,9,4,135
Muzaffarnagar,Uttar Pradesh,9,2,133
Pilibhit,Uttar Pradesh,9,20,151
Pratapgarh,Uttar Pradesh,9,42,173
Rae Bareli,Uttar Pradesh,9,27,158
Rampur,Uttar Pradesh,9,5,136
Saharanpur,Uttar Pradesh,9,1,132
Sant Kabir Nagar,Uttar Pradesh,9,55,186
Sant Ravi Das Nagar(bhadohi),Uttar Pradesh,9,67,198
Shahjahanpur,Uttar Pradesh,9,21,152
Shrawasti,Uttar Pradesh,9,50,181
Siddharth Nagar,Uttar Pradesh,9,53,184
Sitapur,Uttar Pradesh,9,23,154
Sonbhadra,Uttar Pradesh,9,69,200
Sultanpur,Uttar Pradesh,9,48,179
Unnao,Uttar Pradesh,9,25,156
Varanasi,Uttar Pradesh,9,66,197